N	// directed
4	// edge (22 to 4)
5	// edge (22 to 5)
6	// edge (22 to 6)
7	// edge (22 to 7)
8	// edge (22 to 8)
9	// edge (22 to 9)
10	// edge (22 to 10)
11	// edge (22 to 11)
12	// edge (22 to 12)
13	// edge (22 to 13)
14	// edge (22 to 14)
15	// edge (22 to 15)
16	// edge (22 to 16)
17	// edge (22 to 17)
18	// edge (22 to 18)
19	// edge (22 to 19)
20	// edge (22 to 20)
25	// edge (22 to 25)
26	// edge (22 to 26)
27	// edge (22 to 27)
28	// edge (22 to 28)
29	// edge (22 to 29)
30	// edge (22 to 30)
31	// edge (22 to 31)
32	// edge (22 to 32)
33	// edge (22 to 33)
34	// edge (22 to 34)
35	// edge (22 to 35)
36	// edge (22 to 36)
37	// edge (22 to 37)
33	// edge count for vertex 23
1	// edge (23 to 1)
2	// edge (23 to 2)
3	// edge (23 to 3)
4	// edge (23 to 4)
5	// edge (23 to 5)
6	// edge (23 to 6)
7	// edge (23 to 7)
8	// edge (23 to 8)
9	// edge (23 to 9)
10	// edge (23 to 10)
11	// edge (23 to 11)
12	// edge (23 to 12)
13	// edge (23 to 13)
14	// edge (23 to 14)
15	// edge (23 to 15)
16	// edge (23 to 16)
17	// edge (23 to 17)
18	// edge (23 to 18)
19	// edge (23 to 19)
20	// edge (23 to 20)
25	// edge (23 to 25)
26	// edge (23 to 26)
27	// edge (23 to 27)
28	// edge (23 to 28)
29	// edge (23 to 29)
30	// edge (23 to 30)
31	// edge (23 to 31)
32	// edge (23 to 32)
33	// edge (23 to 33)
34	// edge (23 to 34)
35	// edge (23 to 35)
36	// edge (23 to 36)
37	// edge (23 to 37)
33	// edge count for vertex 24
1	// edge (24 to 1)
2	// edge (24 to 2)
3	// edge (24 to 3)
4	// edge (24 to 4)
5	// edge (24 to 5)
6	// edge (24 to 6)
7	// edge (24 to 7)
8	// edge (24 to 8)
9	// edge (24 to 9)
10	// edge (24 to 10)
11	// edge (24 to 11)
12	// edge (24 to 12)
13	// edge (24 to 13)
14	// edge (24 to 14)
15	// edge (24 to 15)
16	// edge (24 to 16)
17	// edge (24 to 17)
18	// edge (24 to 18)
19	// edge (24 to 19)
20	// edge (24 to 20)
25	// edge (24 to 25)
26	// edge (24 to 26)
27	// edge (24 to 27)
28	// edge (24 to 28)
29	// edge (24 to 29)
30	// edge (24 to 30)
31	// edge (24 to 31)
32	// edge (24 to 32)
33	// edge (24 to 33)
34	// edge (24 to 34)
35	// edge (24 to 35)
36	// edge (24 to 36)
37	// edge (24 to 37)
33	// edge count for vertex 25
1	// edge (25 to 1)
2	// edge (25 to 2)
3	// edge (25 to 3)
4	// edge (25 to 4)
5	// edge (25 to 5)
6	// edge (25 to 6)
7	// edge (25 to 7)
8	// edge (25 to 8)
9	// edge (25 to 9)
10	// edge (25 to 10)
11	// edge (25 to 11)
12	// edge (25 to 12)
13	// edge (25 to 13)
14	// edge (25 to 14)
15	// edge (25 to 15)
16	// edge (25 to 16)
17	// edge (25 to 17)
18	// edge (25 to 18)
19	// edge (25 to 19)
20	// edge (25 to 20)
21	// edge (25 to 21)
22	// edge (25 to 22)
23	// edge (25 to 23)
24	// edge (25 to 24)
29	// edge (25 to 29)
30	// edge (25 to 30)
31	// edge (25 to 31)
32	// edge (25 to 32)
33	// edge (25 to 33)
34	// edge (25 to 34)
35	// edge (25 to 35)
36	// edge (25 to 36)
37	// edge (25 to 37)
33	// edge count for vertex 26
1	// edge (26 to 1)
2	// edge (26 to 2)
3	// edge (26 to 3)
4	// edge (26 to 4)
5	// edge (26 to 5)
6	// edge (26 to 6)
7	// edge (26 to 7)
8	// edge (26 to 8)
9	// edge (26 to 9)
10	// edge (26 to 10)
11	// edge (26 to 11)
12	// edge (26 to 12)
13	// edge (26 to 13)
14	// edge (26 to 14)
15	// edge (26 to 15)
16	// edge (26 to 16)
17	// edge (26 to 17)
18	// edge (26 to 18)
19	// edge (26 to 19)
20	// edge (26 to 20)
21	// edge (26 to 21)
22	// edge (26 to 22)
23	// edge (26 to 23)
24	// edge (26 to 24)
29	// edge (26 to 29)
30	// edge (26 to 30)
31	// edge (26 to 31)
32	// edge (26 to 32)
33	// edge (26 to 33)
34	// edge (26 to 34)
35	// edge (26 to 35)
36	// edge (26 to 36)
37	// edge (26 to 37)
33	// edge count for vertex 27
1	// edge (27 to 1)
2	// edge (27 to 2)
3	// edge (27 to 3)
4	// edge (27 to 4)
5	// edge (27 to 5)
6	// edge (27 to 6)
7	// edge (27 to 7)
8	// edge (27 to 8)
9	// edge (27 to 9)
10	// edge (27 to 10)
11	// edge (27 to 11)
12	// edge (27 to 12)
13	// edge (27 to 13)
14	// edge (27 to 14)
15	// edge (27 to 15)
16	// edge (27 to 16)
17	// edge (27 to 17)
18	// edge (27 to 18)
19	// edge (27 to 19)
20	// edge (27 to 20)
21	// edge (27 to 21)
22	// edge (27 to 22)
23	// edge (27 to 23)
24	// edge (27 to 24)
29	// edge (27 to 29)
30	// edge (27 to 30)
31	// edge (27 to 31)
32	// edge (27 to 32)
33	// edge (27 to 33)
34	// edge (27 to 34)
35	// edge (27 to 35)
36	// edge (27 to 36)
37	// edge (27 to 37)
33	// edge count for vertex 28
1	// edge (28 to 1)
2	// edge (28 to 2)
3	// edge (28 to 3)
4	// edge (28 to 4)
5	// edge (28 to 5)
6	// edge (28 to 6)
7	// edge (28 to 7)
8	// edge (28 to 8)
9	// edge (28 to 9)
10	// edge (28 to 10)
11	// edge (28 to 11)
12	// edge (28 to 12)
13	// edge (28 to 13)
14	// edge (28 to 14)
15	// edge (28 to 15)
16	// edge (28 to 16)
17	// edge (28 to 17)
18	// edge (28 to 18)
19	// edge (28 to 19)
20	// edge (28 to 20)
21	// edge (28 to 21)
22	// edge (28 to 22)
23	// edge (28 to 23)
24	// edge (28 to 24)
29	// edge (28 to 29)
30	// edge (28 to 30)
31	// edge (28 to 31)
32	// edge (28 to 32)
33	// edge (28 to 33)
34	// edge (28 to 34)
35	// edge (28 to 35)
36	// edge (28 to 36)
37	// edge (28 to 37)
33	// edge count for vertex 29
1	// edge (29 to 1)
2	// edge (29 to 2)
3	// edge (29 to 3)
4	// edge (29 to 4)
5	// edge (29 to 5)
6	// edge (29 to 6)
7	// edge (29 to 7)
8	// edge (29 to 8)
9	// edge (29 to 9)
10	// edge (29 to 10)
11	// edge (29 to 11)
12	// edge (29 to 12)
13	// edge (29 to 13)
14	// edge (29 to 14)
15	// edge (29 to 15)
16	// edge (29 to 16)
17	// edge (29 to 17)
18	// edge (29 to 18)
19	// edge (29 to 19)
20	// edge (29 to 20)
21	// edge (29 to 21)
22	// edge (29 to 22)
23	// edge (29 to 23)
24	// edge (29 to 24)
25	// edge (29 to 25)
26	// edge (29 to 26)
27	// edge (29 to 27)
28	// edge (29 to 28)
33	// edge (29 to 33)
34	// edge (29 to 34)
35	// edge (29 to 35)
36	// edge (29 to 36)
37	// edge (29 to 37)
33	// edge count for vertex 30
1	// edge (30 to 1)
2	// edge (30 to 2)
3	// edge (30 to 3)
4	// edge (30 to 4)
5	// edge (30 to 5)
6	// edge (30 to 6)
7	// edge (30 to 7)
8	// edge (30 to 8)
9	// edge (30 to 9)
10	// edge (30 to 10)
11	// edge (30 to 11)
12	// edge (30 to 12)
13	// edge (30 to 13)
14	// edge (30 to 14)
15	// edge (30 to 15)
16	// edge (30 to 16)
17	// edge (30 to 17)
18	// edge (30 to 18)
19	// edge (30 to 19)
20	// edge (30 to 20)
21	// edge (30 to 21)
22	// edge (30 to 22)
23	// edge (30 to 23)
24	// edge (30 to 24)
25	// edge (30 to 25)
26	// edge (30 to 26)
27	// edge (30 to 27)
28	// edge (30 to 28)
33	// edge (30 to 33)
34	// edge (30 to 34)
35	// edge (30 to 35)
36	// edge (30 to 36)
37	// edge (30 to 37)
33	// edge count for vertex 31
1	// edge (31 to 1)
2	// edge (31 to 2)
3	// edge (31 to 3)
4	// edge (31 to 4)
5	// edge (31 to 5)
6	// edge (31 to 6)
7	// edge (31 to 7)
8	// edge (31 to 8)
9	// edge (31 to 9)
10	// edge (31 to 10)
11	// edge (31 to 11)
12	// edge (31 to 12)
13	// edge (31 to 13)
14	// edge (31 to 14)
15	// edge (31 to 15)
16	// edge (31 to 16)
17	// edge (31 to 17)
18	// edge (31 to 18)
19	// edge (31 to 19)
20	// edge (31 to 20)
21	// edge (31 to 21)
22	// edge (31 to 22)
23	// edge (31 to 23)
24	// edge (31 to 24)
25	// edge (31 to 25)
26	// edge (31 to 26)
27	// edge (31 to 27)
28	// edge (31 to 28)
33	// edge (31 to 33)
34	// edge (31 to 34)
35	// edge (31 to 35)
36	// edge (31 to 36)
37	// edge (31 to 37)
33	// edge count for vertex 32
1	// edge (32 to 1)
2	// edge (32 to 2)
3	// edge (32 to 3)
4	// edge (32 to 4)
5	// edge (32 to 5)
6	// edge (32 to 6)
7	// edge (32 to 7)
8	// edge (32 to 8)
9	// edge (32 to 9)
10	// edge (32 to 10)
11	// edge (32 to 11)
12	// edge (32 to 12)
13	// edge (32 to 13)
14	// edge (32 to 14)
15	// edge (32 to 15)
16	// edge (32 to 16)
17	// edge (32 to 17)
18	// edge (32 to 18)
19	// edge (32 to 19)
