N	// directed
4	// edge (19 to 4)
5	// edge (19 to 5)
6	// edge (19 to 6)
7	// edge (19 to 7)
8	// edge (19 to 8)
9	// edge (19 to 9)
10	// edge (19 to 10)
11	// edge (19 to 11)
12	// edge (19 to 12)
13	// edge (19 to 13)
14	// edge (19 to 14)
15	// edge (19 to 15)
16	// edge (19 to 16)
17	// edge (19 to 17)
17	// edge count for vertex 20
1	// edge (20 to 1)
2	// edge (20 to 2)
3	// edge (20 to 3)
4	// edge (20 to 4)
5	// edge (20 to 5)
6	// edge (20 to 6)
7	// edge (20 to 7)
8	// edge (20 to 8)
9	// edge (20 to 9)
10	// edge (20 to 10)
11	// edge (20 to 11)
12	// edge (20 to 12)
13	// edge (20 to 13)
14	// edge (20 to 14)
15	// edge (20 to 15)
16	// edge (20 to 16)
17	// edge (20 to 17)
17	// edge count for vertex 21
1	// edge (21 to 1)
2	// edge (21 to 2)
3	// edge (21 to 3)
4	// edge (21 to 4)
5	// edge (21 to 5)
6	// edge (21 to 6)
7	// edge (21 to 7)
8	// edge (21 to 8)
9	// edge (21 to 9)
10	// edge (21 to 10)
11	// edge (21 to 11)
12	// edge (21 to 12)
13	// edge (21 to 13)
14	// edge (21 to 14)
15	// edge (21 to 15)
16	// edge (21 to 16)
17	// edge (21 to 17)
17	// edge count for vertex 22
1	// edge (22 to 1)
2	// edge (22 to 2)
3	// edge (22 to 3)
4	// edge (22 to 4)
5	// edge (22 to 5)
6	// edge (22 to 6)
7	// edge (22 to 7)
8	// edge (22 to 8)
9	// edge (22 to 9)
10	// edge (22 to 10)
11	// edge (22 to 11)
12	// edge (22 to 12)
13	// edge (22 to 13)
14	// edge (22 to 14)
15	// edge (22 to 15)
16	// edge (22 to 16)
17	// edge (22 to 17)
